,id,link,title,month,year,tag,lang,dirty,cleared_title,equals_persian_links,equals_persian_links_counts,persian_year
56,167,https://www.bbc.com/tajik/news/2015/02/150219_ea_obama_extremism,150219_ea_obama_extremism,02,2015,news,tajik,ea,obama_extremism,['https://www.bbc.com/persian/world/2015/02/150218_u04_obama_extremism'],1,2015
57,168,https://www.bbc.com/tajik/news/2015/02/150218_l16_k04_un_report_on_civilian_causalities,150218_l16_k04_un_report_on_civilian_causalities,02,2015,news,tajik,l16,un_report_on_civilian_causalities,['https://www.bbc.com/persian/afghanistan/2015/02/150218_k04_un_report_on_civilian_causalities'],1,2015
58,169,https://www.bbc.com/tajik/news/2015/02/150218_l16_l20_ukraine_troops,150218_l16_l20_ukraine_troops,02,2015,news,tajik,l16,ukraine_troops,['https://www.bbc.com/persian/world/2015/02/150218_l20_ukraine_troops'],1,2015
59,170,https://www.bbc.com/tajik/news/2015/02/150218_zkh_interior_iran_visit,150218_zkh_interior_iran_visit,02,2015,news,tajik,zkh,interior_iran_visit,['https://www.bbc.com/persian/world/2015/02/150218_l16_zkh_interior_iran_visit'],1,2015
60,175,https://www.bbc.com/tajik/news/2015/02/150217_l16_an_syria_army_aleppo,150217_l16_an_syria_army_aleppo,02,2015,news,tajik,l16,an_syria_army_aleppo,['https://www.bbc.com/persian/world/2015/02/150217_an_syria_army_aleppo'],1,2015
61,176,https://www.bbc.com/tajik/news/2015/02/150217_l16_an_pakistan_lahore_attack,150217_l16_an_pakistan_lahore_attack,02,2015,news,tajik,l16,an_pakistan_lahore_attack,['https://www.bbc.com/persian/world/2015/02/150217_an_pakistan_lahore_attack'],1,2015
62,177,https://www.bbc.com/tajik/news/2015/02/150217_l16_l26_libya_egypt_un_islamic_state_isis,150217_l16_l26_libya_egypt_un_islamic_state_isis,02,2015,news,tajik,l16,libya_egypt_un_islamic_state_isis,['https://www.bbc.com/persian/world/2015/02/150217_l26_libya_egypt_un_islamic_state_isis'],1,2015
63,178,https://www.bbc.com/tajik/news/2015/02/150217_ea_iran_cyber_spyware_nsa_us_kasperskey,150217_ea_iran_cyber_spyware_nsa_us_kasperskey,02,2015,news,tajik,ea,iran_cyber_spyware_nsa_us_kasperskey,['https://www.bbc.com/persian/iran/2015/02/150217_l26_iran_cyber_spyware_nsa_us_kasperskey'],1,2015
64,182,https://www.bbc.com/tajik/news/2015/02/150217_ea_iran_nuclear_israel_netanyahu_leak_us,150217_ea_iran_nuclear_israel_netanyahu_leak_us,02,2015,news,tajik,ea,iran_nuclear_israel_netanyahu_leak_us,['https://www.bbc.com/persian/iran/2015/02/150216_l26_iran_nuclear_israel_netanyahu_leak_us'],1,2015
65,188,https://www.bbc.com/tajik/news/2015/02/150216_ea_egyptian_christians_killed_isis_libya,150216_ea_egyptian_christians_killed_isis_libya,02,2015,news,tajik,ea,egyptian_christians_killed_isis_libya,['https://www.bbc.com/persian/world/2015/02/150215_egyptian_christians_killed_isis_libya'],1,2015
