30480,2011-12-07 21:59:11+00:00,bbcpersian,['http://bbc.in/ugMi1I'],شیوه زندگی و احتمال ابتلا به سرطان: شیوه زندگی و انتخابهای ما تاثیر زیادی در احتمال ابتلا به سرطان دارد. http://t.co/X0VXtg8U
30481,2011-12-07 21:59:11+00:00,bbcpersian,['http://bbc.in/tcnSud'],اعتراضات به نتایج انتخابات پارلمانی در روسیه: اعتراضها به نتایج انتخابات پارلمانی روز یکشنبه ادامه دارد. این در ... http://t.co/nmnSk3MH
30482,2011-12-07 21:59:11+00:00,bbcpersian,['http://bbc.in/ucuKzk'],اسد می گوید که دستور سرکوب معترضان را نداده است: رئیس جمهوری سوریه می گوید هرگز دستوری برای سرکوب معترضان صادر ن... http://t.co/HbOrdZWS
30483,2011-12-07 21:59:11+00:00,bbcpersian,['http://bbc.in/vC5I0E'],بیم ها و امیدهای مهاجران افغان در پاکستان: در یک دهه اخیر میلیون‌ها پناهنده افغان به کشورشان بازگشته اند. http://t.co/vWBQgNY4
30484,2011-12-07 20:24:29+00:00,bbcpersian,['http://bbc.in/tVZ5p1'],پلیس بحرین به معترضان گاز اشک‌آور پاشید: گزارش ها از منامه، پایتخت بحرین حاکی است که مأموران امنیتی این کشور برا... http://t.co/UTkkOKj5
30485,2011-12-07 20:24:29+00:00,bbcpersian,['http://bbc.in/vmi68z'],هنرنمایی با آتش و چوب: سوخته‌کاری یا نوعی نقاشی روی چوب از هنرهای سنتی جنوب آسیا است. http://t.co/TD847TzZ
30486,2011-12-07 20:24:29+00:00,bbcpersian,['http://bbc.in/v6WtgY'],تلاش برای تولید برق مجانی: کارشناسان آلمانی دست به کار شده اند تا  تولید برق ارزان و حتی مجانی را به کار بگیرند. http://t.co/36MgVA6G
30487,2011-12-07 19:21:47+00:00,bbcpersian,['http://bbc.in/uZOLza'],حمله به سفارت بریتانیا و موازی کاری در سیاست خارجی ایران: روزها پس از سکوت مقامات دولتی ایران در برابر حمله به ب... http://t.co/KGvQ8SnN
30488,2011-12-07 17:47:25+00:00,bbcpersian,['http://bbc.in/vP6SIQ'],نقشه 'ورود پسر قذافی به مکزیک' خنثی شد: مقام‌های مکزیک از خنثی کردن نقشه یک سازمان جنایی برای وارد کردن غیرقانون... http://t.co/a50qxxmT
30489,2011-12-07 14:06:02+00:00,bbcpersian,['http://bbc.in/u19cGN'],"ایران سفارت‌خانه مجازی آمریکا را فیلتر کرد: یک روز بعد از راه اندازی ""سفارت‌خانه مجازی آمریکا در تهران""، دسترسی ... http://t.co/zJmkz7n0"
30490,2011-12-07 13:03:21+00:00,bbcpersian,['http://bbc.in/td0o65'],حملات روز عاشورا 'ریشه در پاکستان دارد'؛ نگرانیها کاهش می‌یابد؟: اگر ثابت شود که بمبگذاریهای روز عاشورا کار یک گ... http://t.co/OH4cll94
