id,BeautyLink
117,https://www.bbc.com/tajik/news/2015/03/150301_zkh_election_vote_parliament
118,https://www.bbc.com/tajik/news/2015/02/150228_mm_afganistan_mouring
119,https://www.bbc.com/tajik/news/2015/02/150228_mm_nemtsov_killed
120,https://www.bbc.com/tajik/news/2015/02/150227_ea_eugenics_compensation
121,https://www.bbc.com/tajik/news/2015/02/150227_ea_isis_destroys_ancient_iraq_statues_mosul
122,https://www.bbc.com/tajik/news/2015/02/150227_mm_rln_russia_military
123,https://www.bbc.com/tajik/news/2015/02/150226_zkh_election_people_views
124,https://www.bbc.com/tajik/news/2015/02/150226_mm_rln_appointment
125,https://www.bbc.com/tajik/news/2015/02/150226_mm_tajpress
126,https://www.bbc.com/tajik/news/2015/02/150226_zm_photo_album_football
127,https://www.bbc.com/tajik/news/2015/02/150226_ea_pdpt_rahmanzadeh_iv_elex
128,https://www.bbc.com/tajik/news/2015/02/150226_ea_kerry_iran_isis
129,https://www.bbc.com/tajik/news/2015/02/150225_l16_an_ukraine_russia_france
130,https://www.bbc.com/tajik/news/2015/02/150225_l16_l03_amnesty_unsc_veto
131,https://www.bbc.com/tajik/news/2015/02/150225_mm_parliament_energy
132,https://www.bbc.com/tajik/news/2015/02/150225_ea_iran_us_nuclear_deall_wh_10_year
133,https://www.bbc.com/tajik/news/2015/02/150224_l16_l26_syria_islamic_state_christian_abduction
134,https://www.bbc.com/tajik/news/2015/02/150224_l16_an_france_paris_drones
135,https://www.bbc.com/tajik/news/2015/02/150224_l16_an_ukraine_russia_gas
136,https://www.bbc.com/tajik/news/2015/02/150224_mm_aliev_suicide
137,https://www.bbc.com/tajik/news/2015/02/150224_zkh_rln_sale_newborn_crime
138,https://www.bbc.com/tajik/news/2015/02/150224_ea_netanyahu_iran
139,https://www.bbc.com/tajik/news/2015/02/150224_mm_rln_avalanche
140,https://www.bbc.com/tajik/news/2015/02/150223_l16_l31_egypt_blogger-jail
141,https://www.bbc.com/tajik/news/2015/02/150223_l16_l31_us_isis_kuwait
142,https://www.bbc.com/tajik/news/2015/02/150223_l16_l31_s300_russia_iran
143,https://www.bbc.com/tajik/news/2015/02/150223_zkh_rln_missing_search_police
144,https://www.bbc.com/tajik/news/2015/02/150223_zkh_rln_childrens_drawings_competition
145,https://www.bbc.com/tajik/news/2015/02/150223_zkh_unhcr_refugees_afghan
146,https://www.bbc.com/tajik/news/2015/02/150223_ea_oscars_2015_academy_awards_cinema
147,https://www.bbc.com/tajik/news/2015/02/150223_ea_ukraine_marches
148,https://www.bbc.com/tajik/news/2015/02/150222_l16_l26_iran_ambassador_resident_libya_tripoli_explosion
149,https://www.bbc.com/tajik/news/2015/02/150222_l16_l10_kharkiv_blast_ukrain
150,https://www.bbc.com/tajik/news/2015/02/150222_l16_k03_badakshan_avalanch
151,https://www.bbc.com/tajik/news/2015/02/150222_l16_l10_zarif_nuclear_talks
152,https://www.bbc.com/tajik/news/2015/02/150222_l16_l10_ukrain_weapon_pullout_agreed
153,https://www.bbc.com/tajik/news/2015/02/150221_mm_russia_ukraine
154,https://www.bbc.com/tajik/news/2015/02/150221_mm_us_kabul
155,https://www.bbc.com/tajik/news/2015/02/150220_zkh_album_india_exhibition
156,https://www.bbc.com/tajik/news/2015/02/150220_ea_iraqi_kurds_prepare_retaking_mosul
157,https://www.bbc.com/tajik/news/2015/02/150220_mm_rahimzoda_iran
158,https://www.bbc.com/tajik/news/2015/02/150220_ea_caliography_iran_persian
159,https://www.bbc.com/tajik/news/2015/02/150219_l16_l45_greece_loan_extension
160,https://www.bbc.com/tajik/news/2015/02/150219_l16_an_uk_russia_aircrafts
